order_id,review_comment_title,review_comment_message,message_ko,title_ko,review_creation_date,review_answer_timestamp,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,is_delayed,total_delivery_time,order_purchase,order_delivered,order_estimated,survey_sent,review_answered,days_order_to_answer,days_delivery_to_answer,days_survey_to_answer,complaint_types_str,complaint_types,days_from_estimated,estimated_group,days_order_to_review,expected_delivery_days,category
e6ce16cb79ec1d90b1da9085a6118aeb,,Aguardando retorno da loja,매장에서 반품을 기다리는 중,,2017-05-30 00:00:00,2017-05-30 23:13:47,2017-05-16 19:41:10,2017-05-29 11:18:31,2017-06-07,0,12,2017-05-16 19:41:10,2017-05-29 11:18:31,2017-06-07,2017-05-30 00:00:00,2017-05-30 23:13:47,14,1,0,"배송 미수령, 환불/반품","['배송 미수령', '환불/반품']",-8,예상일 7일+ 전,14,21,중간
acce194856392f074dbf9dada14d8d82,NÃO RECOMENDO!!!! ,"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",지금까지 유아용 침대용 매트리스 보호대 - 방수 면 제품을 받지 못했습니다. 이미 06/18 이후 불만을 제기했지만 아직 응답을 받지 못했습니다.오늘 주문을 취소하고 구매 금액을 환불해 드리겠습니다,나는 추천하지 않는다!!!!,2018-06-17 00:00:00,2018-06-20 11:38:22,2018-06-04 00:00:13,2018-06-16 15:20:55,2018-07-18,0,12,2018-06-04 00:00:13,2018-06-16 15:20:55,2018-07-18,2018-06-17 00:00:00,2018-06-20 11:38:22,16,3,3,"배송 미수령, 고객 응대, 환불/반품","['배송 미수령', '고객 응대', '환불/반품']",-28,예상일 7일+ 전,16,43,중간
1790eea0b567cf50911c057cf20f90f9,Enganadores,"Foi entregue um produto divergente do que eu havia comprado, além de não vir com todos os acessórios constantes na descrição do anuncio. Solicito providências urgentes.",광고 설명에 나열된 모든 액세서리가 함께 제공되지 않을 뿐만 아니라 내가 구매한 제품과 다른 제품이 배송되었습니다.긴급조치를 요청합니다.,사기꾼,2018-05-06 00:00:00,2018-05-08 23:47:22,2018-04-16 21:15:39,2018-05-05 12:28:34,2018-05-15,0,18,2018-04-16 21:15:39,2018-05-05 12:28:34,2018-05-15,2018-05-06 00:00:00,2018-05-08 23:47:22,22,3,2,"배송 미수령, 수량 불일치, 제품 불일치","['배송 미수령', '수량 불일치', '제품 불일치']",-7,예상일 4-7일 전,22,28,중간
6ebaec694d7025e2ad4a05dba887c032,,A cuba veio quebrada. Como efetuo barroca?,욕조가 깨져서 도착했어요.바로크 공연은 어떻게 하나요?,,2017-05-30 00:00:00,2017-05-31 13:34:59,2017-05-18 13:55:47,2017-05-29 12:47:20,2017-06-09,0,10,2017-05-18 13:55:47,2017-05-29 12:47:20,2017-06-09,2017-05-30 00:00:00,2017-05-31 13:34:59,12,2,1,기타,['기타'],-9,예상일 7일+ 전,12,21,중간
9faeb9b2746b9d7526aef5acb08e2aa0,Recebi apenas 1 unidade ,"Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece",요청한 단품 1개만 받았는데 2개가 있어야 했는데 심지어 청구되어 송장에 표시됩니다.4일째 매장에 연락을 시도하고 있어요.그들은 나에게 공급업체의 연락처 정보를 이메일로 보내준다고 말했습니다.,1개만 받았어요,2018-08-01 00:00:00,2018-08-04 02:14:45,2018-07-26 14:39:59,2018-07-31 22:26:55,2018-08-16,0,5,2018-07-26 14:39:59,2018-07-31 22:26:55,2018-08-16,2018-08-01 00:00:00,2018-08-04 02:14:45,8,3,3,"수량 불일치, 고객 응대","['수량 불일치', '고객 응대']",-12,예상일 7일+ 전,8,20,중간
634e8f4c0f6744a626f77f39770ac6aa,,Muito bom o produto e preço cobrado!,충전된 제품과 가격이 매우 좋습니다!,,2017-08-17 00:00:00,2017-08-17 23:36:23,2017-08-09 18:32:47,2017-08-16 18:17:54,2017-08-31,0,6,2017-08-09 18:32:47,2017-08-16 18:17:54,2017-08-31,2017-08-17 00:00:00,2017-08-17 23:36:23,8,1,0,기타,['기타'],-14,예상일 7일+ 전,8,21,중간
86f21bf63784876b9fd6d35f46581d72,Regular,"Os outros produtos, a loja ofereceu mas não cumpriu com a entrega.",매장에서 다른 제품을 제공했지만 배송하지 않았습니다.,정기적인,2018-04-28 00:00:00,2018-04-30 20:44:11,2018-04-11 22:32:31,2018-04-27 23:14:42,2018-05-21,0,16,2018-04-11 22:32:31,2018-04-27 23:14:42,2018-05-21,2018-04-28 00:00:00,2018-04-30 20:44:11,18,2,2,제품 불일치,['제품 불일치'],-21,예상일 7일+ 전,18,39,중간
af5b0604e113e1526593d505a26ef39d,,"Boa noite, não recebi o escorredor de louça, Continuo no aguardo",안녕하십니까. 식기건조대를 받지 못했습니다. 아직 기다리고 있습니다.,,2017-10-01 00:00:00,2017-10-03 23:54:54,2017-09-27 12:07:22,2017-09-30 17:13:01,2017-10-16,0,3,2017-09-27 12:07:22,2017-09-30 17:13:01,2017-10-16,2017-10-01 00:00:00,2017-10-03 23:54:54,6,3,2,배송 미수령,['배송 미수령'],-13,예상일 7일+ 전,6,18,진짜 조급
01a75ac3dd000b7628a684be97c29234,,COMO VOU AVALIAR UM PRODUTO QUE NÃO RECEBI,내가 받지 못한 제품을 어떻게 평가하나요?,,2018-02-08 00:00:00,2018-02-08 21:13:41,2018-01-23 10:32:39,2018-02-07 14:59:03,2018-02-21,0,15,2018-01-23 10:32:39,2018-02-07 14:59:03,2018-02-21,2018-02-08 00:00:00,2018-02-08 21:13:41,16,1,0,배송 미수령,['배송 미수령'],-13,예상일 7일+ 전,16,28,중간
35660aec0cc42b6257e24281ee0e6255,,mais ou menos o produto veio faltando uma peca,제품이 다소 누락되어 도착했습니다.,,2017-04-28 00:00:00,2017-05-03 17:37:19,2017-03-30 14:46:00,2017-04-27 11:08:55,2017-05-12,0,27,2017-03-30 14:46:00,2017-04-27 11:08:55,2017-05-12,2017-04-28 00:00:00,2017-05-03 17:37:19,34,6,5,수량 불일치,['수량 불일치'],-9,예상일 7일+ 전,34,42,정당한 불만
5164933efe0cd14f31424b9badf81f19,Não gostei do produto ,Produto não corresponde às expectativas ,제품이 기대에 미치지 못함,상품이 마음에 안들었어요,2018-04-28 00:00:00,2018-04-30 23:20:37,2018-04-25 22:18:10,2018-04-27 16:50:03,2018-05-14,0,1,2018-04-25 22:18:10,2018-04-27 16:50:03,2018-05-14,2018-04-28 00:00:00,2018-04-30 23:20:37,5,3,2,기타,['기타'],-14,예상일 7일+ 전,5,18,진짜 조급
741fd1b80f015f170a7f458cf86769b8,,Nao gostei do produto pois veio com detalhes no acabamento e com sinais que ja foram uzados,마감의 디테일과 이미 사용된 표시가 있어서 제품이 마음에 들지 않았습니다.,,2017-12-12 00:00:00,2017-12-15 20:15:29,2017-12-02 14:28:03,2017-12-11 16:17:04,2018-01-04,0,9,2017-12-02 14:28:03,2017-12-11 16:17:04,2018-01-04,2017-12-12 00:00:00,2017-12-15 20:15:29,13,4,3,배송 지연,['배송 지연'],-20,예상일 7일+ 전,13,32,중간
f4471dae8c482f51aa1826cd9f5d4433,Péssima compra ,Recebi um produto velho ,오래된 제품을 받았어요,잘못된 구매,2018-07-12 00:00:00,2018-07-13 04:54:36,2018-07-05 18:40:47,2018-07-11 21:16:47,2018-07-19,0,6,2018-07-05 18:40:47,2018-07-11 21:16:47,2018-07-19,2018-07-12 00:00:00,2018-07-13 04:54:36,7,1,1,배송 지연,['배송 지연'],-6,예상일 4-7일 전,7,13,unknown
93ec3e2c9a4beee38c28973d307093e1,,Faltou a FLANGE da cadeira que e considerada a peça mais importante.,가장 중요한 부분으로 꼽히는 FLANGE 의자가 사라졌습니다.,,2018-04-07 00:00:00,2018-04-08 15:21:39,2018-03-29 14:27:41,2018-04-06 22:52:39,2018-04-11,0,8,2018-03-29 14:27:41,2018-04-06 22:52:39,2018-04-11,2018-04-07 00:00:00,2018-04-08 15:21:39,10,1,1,기타,['기타'],-3,예상일 1-3일 전,10,12,중간
