단어,빈도,비율(%)
받지,1336,18.64
제품을,1289,17.98
제품이,985,13.74
않았습니다,939,13.1
아직,878,12.25
못했습니다,859,11.98
나는,756,10.55
않습니다,712,9.93
상품을,625,8.72
다른,600,8.37
구매했는데,585,8.16
없습니다,584,8.15
상품이,532,7.42
기다리고,511,7.13
도착하지,480,6.7
제품,478,6.67
받았습니다,471,6.57
1개만,402,5.61
이미,401,5.59
구매한,376,5.24
배송되지,375,5.23
배송,328,4.58
지금까지,315,4.39
대한,299,4.17
배송이,294,4.1
도착했습니다,280,3.91
제품은,275,3.84
싶습니다,269,3.75
때문에,265,3.7
품질이,264,3.68
2개,260,3.63
구입했는데,242,3.38
2개를,225,3.14
못했어요,223,3.11
제가,221,3.08
받았는데,202,2.82
좋지,194,2.71
왔습니다,190,2.65
주문한,183,2.55
상품,182,2.54
추천하지,181,2.52
위해,181,2.52
나에게,177,2.47
않은,176,2.46
답변을,176,2.46
어떻게,175,2.44
아무것도,170,2.37
배송되었습니다,169,2.36
알고,168,2.34
그들은,165,2.3
않고,165,2.3
샀는데,162,2.26
문제가,161,2.25
있어요,154,2.15
결함이,150,2.09
것입니다,149,2.08
주문했는데,146,2.04
왔어요,146,2.04
잘못된,146,2.04
아직도,145,2.02
함께,143,1.99
저는,143,1.99
작동하지,139,1.94
그리고,138,1.92
시간이,138,1.92
그것을,138,1.92
내가,137,1.91
lannister,137,1.91
이메일을,135,1.88
있는데,133,1.86
하나만,133,1.86
제품에,132,1.84
도착했어요,124,1.73
현재까지,124,1.73
매장에서,123,1.72
완전히,123,1.72
있었습니다,122,1.7
없었습니다,122,1.7
대해,121,1.69
돈을,120,1.67
것을,120,1.67
좋은,119,1.66
주문을,118,1.65
일이,117,1.63
오래,114,1.59
못했고,113,1.58
것이,111,1.55
없고,108,1.51
마음에,107,1.49
배송된,106,1.48
보냈습니다,106,1.48
주문이,105,1.46
구매,103,1.44
도착했는데,103,1.44
없이,102,1.42
보냈는데,102,1.42
연락을,100,1.39
무슨,100,1.39
끔찍한,100,1.39
않을,99,1.38
않았고,99,1.38
환불을,96,1.34
모두,96,1.34
해당,95,1.33
응답을,94,1.31
전혀,94,1.31
배송을,94,1.31
누락되었습니다,93,1.3
것은,93,1.3
반품을,92,1.28
아무,92,1.28
아무도,92,1.28
우체국에서,90,1.26
문제를,89,1.24
것으로,88,1.23
이상,88,1.23
잘못,88,1.23
받은,88,1.23
3개,88,1.23
지났는데,88,1.23
있고,87,1.21
받았고,87,1.21
제품의,86,1.2
있어서,84,1.17
들지,84,1.17
아무런,84,1.17
아닌,84,1.17
것과,83,1.16
아닙니다,83,1.16
싶어요,83,1.16
받았어요,82,1.14
상태로,82,1.14
구입했습니다,82,1.14
배송에,81,1.13
같은,81,1.13
것도,80,1.12
구매하지,80,1.12
않아서,79,1.1
교환을,79,1.1
어떤,78,1.09
